File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\AssignDestination.java,90,68,49,12,14,0,8,61,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\FunctionUtil.java,51,41,31,6,10,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\IRGenerator.java,80,72,56,8,8,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\Lexer.java,223,192,128,51,8,1,23,112,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\Parser.java,847,685,551,134,51,25,111,716,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\PBuffers.java,225,174,131,35,23,4,28,209,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\Reporter.java,54,51,40,8,3,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\Result.java,38,36,24,6,2,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\Token.java,81,69,33,2,11,0,1,2,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\VarScoper.java,148,127,102,29,11,0,10,69,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\RA\Clusters.java,63,48,39,7,8,1,7,31,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\RA\RegisterAllocator.java,490,315,239,86,39,1,136,694,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\RA\SimpleEdge.java,49,39,30,7,10,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\runtime\Conf.java,43,37,34,1,5,1,1,15,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\runtime\DLX.java,602,524,282,94,51,15,27,194,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\runtime\DLXInstruction.java,549,478,372,77,18,25,53,204,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\runtime\FrameAbstract.java,69,47,37,7,12,0,10,28,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\runtime\RuntimeEnv.java,28,18,14,3,10,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\runtime\StackAbstract.java,54,45,35,10,5,2,4,50,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\ssa\Arg.java,36,29,24,11,7,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\ssa\BasicBlock.java,109,52,39,8,13,0,44,161,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\ssa\ConstArg.java,34,26,18,5,8,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\ssa\Instruction.java,142,110,68,28,26,1,6,36,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\ssa\PointerArg.java,34,26,18,5,8,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\ssa\RegisterArg.java,61,48,33,9,13,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\ssa\SpilledRegisterArg.java,14,9,6,1,5,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\ssa\SSAConverter.java,489,326,263,77,60,1,103,557,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\ssa\VarArg.java,34,26,18,5,8,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\exception\ParserException.java,15,11,8,0,4,0,0,0,0,0
