Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,29,4752,3729,2722,732,451,77,572,3139,0,0
C:\Users\Frank\Dropbox\workspace\CS241,29,4752,3729,2722,732,451,77,572,3139,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src,29,4752,3729,2722,732,451,77,572,3139,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu,29,4752,3729,2722,732,451,77,572,3139,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci,29,4752,3729,2722,732,451,77,572,3139,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6,29,4752,3729,2722,732,451,77,572,3139,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241,28,4737,3718,2714,732,447,77,572,3139,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\RA,3,602,402,308,100,57,2,143,725,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\runtime,6,1345,1149,774,192,101,43,95,491,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\cs241\ssa,9,953,652,487,149,148,2,153,754,0,0
C:\Users\Frank\Dropbox\workspace\CS241\src\edu\uci\ccai6\exception,1,15,11,8,0,4,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\test,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\test\edu,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\test\edu\uci,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Frank\Dropbox\workspace\CS241\test\edu\uci\ccai6,0,0,0,0,0,0,0,0,0,0,0
